"","cell","cell_id","occs","interval.ma","early_interval","fad","lad","accepted_name","genus","ex","phylum","class","order","family","paleolat","paleolng","formation","member","occurrence_no","collection_no","collection_name","reference_no","long.x","lat.x","long","lat"
"7855","F515",50,222,"453","Sandbian","458.4","443.8","Calyptaulax","Calyptaulax",0,"Arthropoda","Trilobita","Phacopida","Pterygometopidae",-19.13,-110.98,"Edinburg","Botetourt","1326836","178257","I7767.5BT, I-77 road cut, Botetourt member","59012",-110.98,-19.13,-110.191236208665,-16.4313497128954
"7856","F515",50,222,"453","Sandbian","458.4","443.8","Calyptaulax","Calyptaulax",0,"Arthropoda","Trilobita","Phacopida","Pterygometopidae",-19.13,-110.98,"Edinburg","Liberty Hall","1326849","178259","I7777LH, I-77 road cut, Liberty Hall member","59012",-110.98,-19.13,-110.191236208665,-16.4313497128954
"7857","F515",50,222,"453","Sandbian","458.4","443.8","Calyptaulax","Calyptaulax",0,"Arthropoda","Trilobita","Phacopida","Pterygometopidae",-14.84,-106.71,"Gull River","Upper","273370","26174","Lake Simcoe Area","7251",-106.71,-14.84,-110.191236208665,-16.4313497128954
"7858","F515",50,222,"453","Sandbian","458.4","443.8","Calyptaulax","Calyptaulax",0,"Arthropoda","Trilobita","Phacopida","Pterygometopidae",-19.78,-109.67,"Edinburg","Botetourt limestone","680378","73342","Loc. 3. south side of road, 0.2 mile east of Strasburg Junction","24640",-109.67,-19.78,-110.191236208665,-16.4313497128954
"7859","F515",50,222,"453","Sandbian","458.4","443.8","Calyptaulax","Calyptaulax",0,"Arthropoda","Trilobita","Phacopida","Pterygometopidae",-19.76,-109.68,"Edinburg","","1658634","235400","silicified horizon 34.6 m","78817",-109.68,-19.76,-110.191236208665,-16.4313497128954
"7860","F515",50,222,"453","Sandbian","458.4","443.8","Calyptaulax","Calyptaulax",0,"Arthropoda","Trilobita","Phacopida","Pterygometopidae",-19.13,-110.98,"Edinburg","Effna Limestone","1326792","178252","I77EG2, I-77 road cut, Effna Limestone member","59012",-110.98,-19.13,-110.191236208665,-16.4313497128954
"7861","F515",50,222,"453","Sandbian","458.4","443.8","Calyptaulax","Calyptaulax",0,"Arthropoda","Trilobita","Phacopida","Pterygometopidae",-19.13,-110.98,"Edinburg","Liberty Hall","1326843","178258","I7774LH, I-77 road cut, Liberty Hall member","59012",-110.98,-19.13,-110.191236208665,-16.4313497128954
"7862","F515",50,222,"453","Sandbian","458.4","443.8","Calyptaulax","Calyptaulax",0,"Arthropoda","Trilobita","Phacopida","Pterygometopidae",-19.13,-110.98,"Edinburg","Effna Limestone","1326802","178253","I77EG3, I-77 road cut, Effna Limestone member","59012",-110.98,-19.13,-110.191236208665,-16.4313497128954
"7863","F515",50,222,"453","Sandbian","458.4","443.8","Calyptaulax","Calyptaulax",0,"Arthropoda","Trilobita","Phacopida","Pterygometopidae",-19.13,-110.98,"Edinburg","Effna Limestone","1326783","178251","I7758EG, I-77 road cut, Effna Limestone member","59012",-110.98,-19.13,-110.191236208665,-16.4313497128954
"7864","F515",50,222,"453","Sandbian","458.4","443.8","Calyptaulax","Calyptaulax",0,"Arthropoda","Trilobita","Phacopida","Pterygometopidae",-19.13,-110.98,"Edinburg","Botetourt","1326813","178255","I77BT1, I-77 road cut, Botetourt member","59012",-110.98,-19.13,-110.191236208665,-16.4313497128954
