"","cell","cell_id","occs","interval.ma","early_interval","fad","lad","accepted_name","genus","ex","phylum","class","order","family","paleolat","paleolng","occurrence_no","collection_no","reference_no","long.x","lat.x","lat","long"
"7818","F382",30,540,3.6,"Zanclean",132.6,0.0117,"Diplodonta","Diplodonta",0,"Mollusca","Bivalvia","Veneroidei","Ungulinidae",1.17,-77.89,1078684,131332,42438,-77.89,1.17,-81.7390955747072,2.38295803461706
"7819","F382",30,540,3.6,"Zanclean",132.6,0.0117,"Diplodonta","Diplodonta",0,"Mollusca","Bivalvia","Veneroidei","Ungulinidae",1.2,-78.8,1079185,135043,43321,-78.8,1.2,-81.7390955747072,2.38295803461706
"7820","F382",30,540,3.6,"Zanclean",41.2,0.0117,"Distorsio","Distorsio",0,"Mollusca","Gastropoda","Sorbeoconcha","Personidae",1.28,-78.64,1086586,111211,30037,-78.64,1.28,-81.7390955747072,2.38295803461706
"7821","F382",30,540,3.6,"Zanclean",41.2,0.0117,"Distorsio","Distorsio",0,"Mollusca","Gastropoda","Sorbeoconcha","Personidae",1.29,-78.55,1078591,131293,42438,-78.55,1.29,-81.7390955747072,2.38295803461706
"7822","F382",30,540,3.6,"Zanclean",41.2,0.0117,"Distorsio","Distorsio",0,"Mollusca","Gastropoda","Sorbeoconcha","Personidae",1.17,-77.89,1078749,131333,42438,-77.89,1.17,-81.7390955747072,2.38295803461706
"7823","F382",30,540,3.6,"Zanclean",41.2,0.0117,"Distorsio","Distorsio",0,"Mollusca","Gastropoda","Sorbeoconcha","Personidae",1.28,-78.64,577669,60772,17422,-78.64,1.28,-81.7390955747072,2.38295803461706
"7824","F382",30,540,3.6,"Zanclean",93.9,0.129,"Dolicholatirus","Dolicholatirus",0,"Mollusca","Gastropoda","Neogastropoda","Fasciolariidae",1.29,-78.55,1078592,131293,42438,-78.55,1.29,-81.7390955747072,2.38295803461706
"7825","F382",30,540,3.6,"Zanclean",93.9,0.0117,"Dosinia","Dosinia",0,"Mollusca","Bivalvia","Veneroidei","Veneridae",1.28,-78.64,577610,60772,17422,-78.64,1.28,-81.7390955747072,2.38295803461706
"7826","F382",30,540,3.6,"Zanclean",41.2,1.8,"Echinophoria","Echinophoria",0,"Mollusca","Gastropoda","Sorbeoconcha","Cassidae",1.17,-77.89,1078750,131333,42438,-77.89,1.17,-81.7390955747072,2.38295803461706
"7827","F382",30,540,3.6,"Zanclean",41.2,1.8,"Echinophoria","Echinophoria",0,"Mollusca","Gastropoda","Sorbeoconcha","Cassidae",1.29,-78.55,1078593,131293,42438,-78.55,1.29,-81.7390955747072,2.38295803461706
"7828","F382",30,540,3.6,"Zanclean",41.2,1.8,"Echinophoria","Echinophoria",0,"Mollusca","Gastropoda","Sorbeoconcha","Cassidae",1.28,-78.52,577575,60771,17422,-78.52,1.28,-81.7390955747072,2.38295803461706
"7829","F382",30,540,3.6,"Zanclean",41.2,1.8,"Echinophoria","Echinophoria",0,"Mollusca","Gastropoda","Sorbeoconcha","Cassidae",1.17,-77.89,1078825,131334,42438,-77.89,1.17,-81.7390955747072,2.38295803461706
"7830","F382",30,540,3.6,"Zanclean",41.2,1.8,"Echinophoria","Echinophoria",0,"Mollusca","Gastropoda","Sorbeoconcha","Cassidae",1.28,-78.64,577665,60772,17422,-78.64,1.28,-81.7390955747072,2.38295803461706
"7831","F382",30,540,3.6,"Zanclean",41.2,1.8,"Echinophoria","Echinophoria",0,"Mollusca","Gastropoda","Sorbeoconcha","Cassidae",1.17,-77.89,1078685,131332,42438,-77.89,1.17,-81.7390955747072,2.38295803461706
"7832","F382",30,540,3.6,"Zanclean",27.82,3.6,"Enaeta","Enaeta",1,"Mollusca","Gastropoda","Neogastropoda","Volutidae",1.29,-78.55,1078594,131293,42438,-78.55,1.29,-81.7390955747072,2.38295803461706
