"","cell","cell_id","occs","interval.ma","early_interval","fad","lad","accepted_name","genus","ex","phylum","class","order","family","paleolat","paleolng","occurrence_no","collection_no","reference_no","long.x","lat.x","lat","long"
"78","F130",3,243,184.2,"Pliensbachian",259.51,66,"Entolium","Entolium",0,"Mollusca","Bivalvia","Pectinida","Entoliidae",42.98,13.53,1525816,213637,73768,13.53,42.98,12.8585340591738,45.610404392128
"79","F130",3,243,184.2,"Pliensbachian",259.51,66,"Entolium","Entolium",0,"Mollusca","Bivalvia","Pectinida","Entoliidae",42.98,13.53,1525929,213655,73768,13.53,42.98,12.8585340591738,45.610404392128
"80","F130",3,243,184.2,"Pliensbachian",259.51,66,"Entolium","Entolium",0,"Mollusca","Bivalvia","Pectinida","Entoliidae",42.98,13.53,1525808,213636,73768,13.53,42.98,12.8585340591738,45.610404392128
"81","F130",3,243,184.2,"Pliensbachian",192.9,165.3,"Gibbirhynchia","Gibbirhynchia",0,"Brachiopoda","Rhynchonellata","Rhynchonellida","Tetrarhynchiidae",44.57,8.9,1547961,218421,75714,8.9,44.57,12.8585340591738,45.610404392128
"82","F130",3,243,184.2,"Pliensbachian",192.9,165.3,"Gibbirhynchia","Gibbirhynchia",0,"Brachiopoda","Rhynchonellata","Rhynchonellida","Tetrarhynchiidae",44.58,8.85,1095128,138185,44184,8.85,44.58,12.8585340591738,45.610404392128
"83","F130",3,243,184.2,"Pliensbachian",192.9,165.3,"Gibbirhynchia","Gibbirhynchia",0,"Brachiopoda","Rhynchonellata","Rhynchonellida","Tetrarhynchiidae",42.98,13.53,1525841,213641,73768,13.53,42.98,12.8585340591738,45.610404392128
"84","F130",3,243,184.2,"Pliensbachian",192.9,165.3,"Gibbirhynchia","Gibbirhynchia",0,"Brachiopoda","Rhynchonellata","Rhynchonellida","Tetrarhynchiidae",44.7,7.85,1219227,42211,52103,7.85,44.7,12.8585340591738,45.610404392128
"85","F130",3,243,184.2,"Pliensbachian",192.9,165.3,"Gibbirhynchia","Gibbirhynchia",0,"Brachiopoda","Rhynchonellata","Rhynchonellida","Tetrarhynchiidae",44.54,8.8,1095137,138194,44184,8.8,44.54,12.8585340591738,45.610404392128
"86","F130",3,243,184.2,"Pliensbachian",192.9,165.3,"Gibbirhynchia","Gibbirhynchia",0,"Brachiopoda","Rhynchonellata","Rhynchonellida","Tetrarhynchiidae",44.54,8.88,1547978,38105,75714,8.88,44.54,12.8585340591738,45.610404392128
"87","F130",3,243,184.2,"Pliensbachian",192.9,165.3,"Gibbirhynchia","Gibbirhynchia",0,"Brachiopoda","Rhynchonellata","Rhynchonellida","Tetrarhynchiidae",42.98,13.53,1525874,213647,73768,13.53,42.98,12.8585340591738,45.610404392128
"88","F130",3,243,184.2,"Pliensbachian",254.14,66,"Goniomya","Goniomya",0,"Mollusca","Bivalvia","Pholadomyida","Pholadomyidae",42.98,13.53,1525822,213638,73768,13.53,42.98,12.8585340591738,45.610404392128
"89","F130",3,243,184.2,"Pliensbachian",254.14,66,"Goniomya","Goniomya",0,"Mollusca","Bivalvia","Pholadomyida","Pholadomyidae",42.12,14.95,399952,38375,10298,14.95,42.12,12.8585340591738,45.610404392128
"90","F130",3,243,184.2,"Pliensbachian",387.7,66,"Grammatodon","Grammatodon",0,"Mollusca","Bivalvia","Arcida","Parallelodontidae",42.98,13.53,1525944,213657,73768,13.53,42.98,12.8585340591738,45.610404392128
"91","F130",3,243,184.2,"Pliensbachian",387.7,66,"Grammatodon","Grammatodon",0,"Mollusca","Bivalvia","Arcida","Parallelodontidae",42.98,13.53,1525852,213644,73768,13.53,42.98,12.8585340591738,45.610404392128
"92","F130",3,243,184.2,"Pliensbachian",387.7,66,"Grammatodon","Grammatodon",0,"Mollusca","Bivalvia","Arcida","Parallelodontidae",42.98,13.53,1525868,213647,73768,13.53,42.98,12.8585340591738,45.610404392128
"93","F130",3,243,184.2,"Pliensbachian",387.7,66,"Grammatodon","Grammatodon",0,"Mollusca","Bivalvia","Arcida","Parallelodontidae",42.98,13.53,1525846,213643,73768,13.53,42.98,12.8585340591738,45.610404392128
"94","F130",3,243,184.2,"Pliensbachian",387.7,66,"Grammatodon","Grammatodon",0,"Mollusca","Bivalvia","Arcida","Parallelodontidae",42.98,13.53,1525855,213645,73768,13.53,42.98,12.8585340591738,45.610404392128
"95","F130",3,243,184.2,"Pliensbachian",192.9,184.2,"Grandirhynchia","Grandirhynchia",1,"Brachiopoda","Rhynchonellata","Rhynchonellida","Tetrarhynchiidae",44.55,8.88,1218506,159233,52078,8.88,44.55,12.8585340591738,45.610404392128
"96","F130",3,243,184.2,"Pliensbachian",192.9,184.2,"Grandirhynchia","Grandirhynchia",1,"Brachiopoda","Rhynchonellata","Rhynchonellida","Tetrarhynchiidae",43,13.94,1218493,159221,52078,13.94,43,12.8585340591738,45.610404392128
"97","F130",3,243,184.2,"Pliensbachian",192.9,184.2,"Grandirhynchia","Grandirhynchia",1,"Brachiopoda","Rhynchonellata","Rhynchonellida","Tetrarhynchiidae",44.54,8.88,1218492,159220,52078,8.88,44.54,12.8585340591738,45.610404392128
"98","F130",3,243,184.2,"Pliensbachian",192.9,184.2,"Grandirhynchia","Grandirhynchia",1,"Brachiopoda","Rhynchonellata","Rhynchonellida","Tetrarhynchiidae",44.57,8.88,1218491,159219,52078,8.88,44.57,12.8585340591738,45.610404392128
